"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85941",46,92,"diffPos_diffObj",103,126,113.921025276285,11,34,21.9210252762851,23,22.5,0.578974723714893,-7.34375
"85941",47,77.625,"samePos_sameObj",104,91,97.2830920561225,26.375,13.375,19.6580920561225,13,19.875,0.216907943877544,-21.71875
"85941",48,106.625,"samePos_diffObj",133,129,130.98473193468,26.375,22.375,24.3597319346801,4,24.375,0.0152680653198729,7.28125
"85941",49,120.625,"diffPos_sameObj",148,139,143.429425153976,27.375,18.375,22.804425153976,9,22.875,0.0705748460240443,21.28125
"85941",50,135,"samePos_diffObj",153,151,151.996710490721,18,16,16.9967104907207,2,17,0.00328950927925575,35.65625
"85941",51,106.625,"diffPos_sameObj",124,122,122.995934892174,17.375,15.375,16.3709348921744,2,16.375,0.00406510782559621,7.28125
"85941",52,49.625,"diffPos_diffObj",57,60,58.4807660688538,7.375,10.375,8.85576606885378,3,8.875,0.0192339311462177,-49.71875
"85941",53,135,"diffPos_diffObj",126,155,139.749776386225,9,20,4.74977638622545,29,14.5,9.75022361377455,35.65625
"85941",54,106.625,"samePos_diffObj",122,118,119.983332175765,15.375,11.375,13.3583321757652,4,13.375,0.0166678242348155,7.28125
"85941",55,63.625,"samePos_sameObj",74,75,74.4983221287567,10.375,11.375,10.8733221287567,1,10.875,0.00167787124333074,-35.71875
"85941",56,149.625,"samePos_sameObj",165,158,161.462069849237,15.375,8.375,11.8370698492373,7,11.875,0.0379301507626622,50.28125
"85941",57,106.625,"samePos_sameObj",148,149,148.499158246773,41.375,42.375,41.8741582467726,1,41.875,0.000841753227405206,7.28125
"85941",58,63.625,"samePos_diffObj",87,69,77.4790294208697,23.375,5.375,13.8540294208697,18,14.375,0.520970579130278,-35.71875
"85941",59,120.625,"diffPos_diffObj",144,147,145.492267835786,23.375,26.375,24.8672678357858,3,24.875,0.0077321642142465,21.28125
"85941",60,149.625,"samePos_sameObj",165,154,159.405144208084,15.375,4.375,9.7801442080839,11,9.875,0.0948557919161033,50.28125
"85941",61,92,"samePos_sameObj",105,88,96.1249187255833,13,4,4.12491872558329,17,8.5,4.37508127441671,-7.34375
"85941",62,149.625,"samePos_diffObj",154,140,146.833238743821,4.375,9.625,2.7917612561788,14,7,4.2082387438212,50.28125
"85941",63,135,"diffPos_diffObj",152,134,142.71650219929,17,1,7.71650219929023,18,9,1.28349780070977,35.65625
"85941",64,92,"samePos_sameObj",116,108,111.928548637066,24,16,19.9285486370658,8,20,0.0714513629341695,-7.34375
"85941",65,49.625,"diffPos_sameObj",57,87,70.420167565833,7.375,37.375,20.7951675658331,30,22.375,1.57983243416695,-49.71875
"85941",66,120.625,"samePos_sameObj",128,130,128.996123972777,7.375,9.375,8.37112397277676,2,8.375,0.00387602722324232,21.28125
"85941",67,63.625,"diffPos_diffObj",107,123,114.721401665077,43.375,59.375,51.0964016650773,16,51.375,0.278598334922748,-35.71875
"85941",68,135,"diffPos_sameObj",152,152,152,17,17,17,0,17,0,35.65625
"85941",69,77.625,"diffPos_diffObj",125,132,128.452325786651,47.375,54.375,50.8273257866514,7,50.875,0.0476742133486425,-21.71875
"85941",70,106.625,"samePos_sameObj",138,138,138,31.375,31.375,31.3750000000001,0,31.375,-5.6843418860808e-14,7.28125
"85941",71,92,"diffPos_sameObj",117,91,103.184301131519,25,1,11.184301131519,26,13,1.81569886848098,-7.34375
